time,x_pos,y_pos,frame,num_pulse,stim_duration,tank,date,order
304.004,-18.431375,8.509056,,5,0,C,5/19/17,2
304.1708,-12.7149,16.84084,,2,0,C,5/19/17,2
304.3543,-14.31765,8.597692,,1,0,C,5/19/17,2
304.5045,-25.483475,12.231768,,1,0,C,5/19/17,2
304.6713,-4.5943,37.758936,,6,0,C,5/19/17,2
305.0884,-18.4848,25.615804,,4,0,C,5/19/17,2
305.1718,-20.8355,4.963616,,2,0,C,5/19/17,2
305.2386,-17.2026,0.177272,,1,0,C,5/19/17,2
305.2719,-9.883375,6.027248,,3,0,C,5/19/17,2
305.3387,-13.9971,2.2159,,4,0,C,5/19/17,2
305.372,-28.5287,7.002244,,5,0,C,5/19/17,2
305.3887,-10.845025,2.747716,,3,0,C,5/19/17,2
305.4054,-21.102625,33.061228,,2,0,C,5/19/17,2
305.4721,-22.064275,13.649944,,3,0,C,5/19/17,2
305.7057,-17.469725,13.827216,,6,0,C,5/19/17,2
305.8058,-13.195725,6.470428,,2,0,C,5/19/17,2
306.3063,-6.19705,22.779452,,3,0,C,5/19/17,2
306.3396,-5.181975,8.331784,,1,0,C,5/19/17,2
306.5399,-27.4602,17.7272,,4,0,C,5/19/17,2
307.4074,-12.875175,12.85222,,1,0,C,5/19/17,2
349.733,-10.524475,31.554416,,2,0,C,5/19/17,2
350.1501,-12.554625,11.52268,,3,0,C,5/19/17,2
350.684,-34.565725,25.438532,,1,0,C,5/19/17,2
350.8842,-24.735525,32.440776,,3,0,C,5/19/17,2
351.1511,-27.086225,22.247636,,2,0,C,5/19/17,2
351.5181,-27.086225,15.688572,,3,0,C,5/19/17,2
352.0854,-22.812225,17.7272,,2,0,C,5/19/17,2
352.1187,-32.428725,19.322648,,4,0,C,5/19/17,2
374.93355,-8.4409,31.554416,,1,0,C,5/19/17,2
376.06802,-23.239625,32.174868,,3,0,C,5/19/17,2
376.56852,-33.6575,17.018112,,2,0,C,5/19/17,2
377.53615,-23.50675,21.095368,,3,0,C,5/19/17,2
414.17275,-14.691625,5.76134,,1,0,C,5/19/17,2
416.60852,-15.439575,2.836352,,1,0,C,5/19/17,2
417.14238,-21.2629,4.786344,,3,0,C,5/19/17,2
425.78435,-34.031475,33.327136,,2,0,C,5/19/17,2
426.48505,-25.910875,3.634076,,1,0,C,5/19/17,2
426.75198,-18.965625,22.60218,,3,0,C,5/19/17,2
477.2358,-18.59165,3.279532,,2,0,C,5/19/17,2
